image_path,image_url,source,topic,caption,question_num,question,answer
dataset_images/pexels_person_3_13.jpg,https://images.pexels.com/photos/11652795/pexels-photo-11652795.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,grayscale portrait of a young caucasian man in a studio setting.,1,Is the image in color?,"No, it is a grayscale image."
dataset_images/pexels_person_3_13.jpg,https://images.pexels.com/photos/11652795/pexels-photo-11652795.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,grayscale portrait of a young caucasian man in a studio setting.,2,What is the man's ethnicity?,He appears to be Caucasian.
dataset_images/pexels_person_3_13.jpg,https://images.pexels.com/photos/11652795/pexels-photo-11652795.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,grayscale portrait of a young caucasian man in a studio setting.,3,Where was the photo taken?,It was taken in a studio setting.
dataset_images/pexels_person_3_13.jpg,https://images.pexels.com/photos/11652795/pexels-photo-11652795.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,grayscale portrait of a young caucasian man in a studio setting.,4,How old does the man appear?,He appears to be a young man.
dataset_images/pexels_person_3_13.jpg,https://images.pexels.com/photos/11652795/pexels-photo-11652795.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,grayscale portrait of a young caucasian man in a studio setting.,5,How would you describe the portrait style?,It is a clean grayscale studio portrait.
dataset_images/pexels_person_3_14.jpg,https://images.pexels.com/photos/18878887/pexels-photo-18878887.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"black and white portrait of a man in a checkered shirt, smiling and standing outdoors.",1,Is the image in color?,"No, it is a black and white image."
dataset_images/pexels_person_3_14.jpg,https://images.pexels.com/photos/18878887/pexels-photo-18878887.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"black and white portrait of a man in a checkered shirt, smiling and standing outdoors.",2,What type of shirt is the man wearing?,He is wearing a checkered shirt.
dataset_images/pexels_person_3_14.jpg,https://images.pexels.com/photos/18878887/pexels-photo-18878887.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"black and white portrait of a man in a checkered shirt, smiling and standing outdoors.",3,What is the man's expression?,He is smiling.
dataset_images/pexels_person_3_14.jpg,https://images.pexels.com/photos/18878887/pexels-photo-18878887.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"black and white portrait of a man in a checkered shirt, smiling and standing outdoors.",4,Where was the photo taken?,It was taken outdoors.
dataset_images/pexels_person_3_14.jpg,https://images.pexels.com/photos/18878887/pexels-photo-18878887.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"black and white portrait of a man in a checkered shirt, smiling and standing outdoors.",5,What is the overall mood of the image?,The mood is cheerful and relaxed.
dataset_images/pexels_person_3_15.jpg,https://images.pexels.com/photos/18467480/pexels-photo-18467480.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,studio portrait of a bearded man in white shirt with glasses.,1,Does the man have a beard?,"Yes, he has a beard."
dataset_images/pexels_person_3_15.jpg,https://images.pexels.com/photos/18467480/pexels-photo-18467480.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,studio portrait of a bearded man in white shirt with glasses.,2,What color shirt is the man wearing?,He is wearing a white shirt.
dataset_images/pexels_person_3_15.jpg,https://images.pexels.com/photos/18467480/pexels-photo-18467480.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,studio portrait of a bearded man in white shirt with glasses.,3,Is the man wearing glasses?,"Yes, he is wearing glasses."
dataset_images/pexels_person_3_15.jpg,https://images.pexels.com/photos/18467480/pexels-photo-18467480.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,studio portrait of a bearded man in white shirt with glasses.,4,Where was the photo taken?,It was taken in a studio.
dataset_images/pexels_person_3_15.jpg,https://images.pexels.com/photos/18467480/pexels-photo-18467480.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,studio portrait of a bearded man in white shirt with glasses.,5,How would you describe the portrait?,It is a clean studio portrait of a bearded man with glasses.
dataset_images/pexels_person_3_16.jpg,https://images.pexels.com/photos/18874178/pexels-photo-18874178.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,stylish black and white portrait of a man wearing eyeglasses and a sweatshirt.,1,Is the image in color?,"No, it is a black and white image."
dataset_images/pexels_person_3_16.jpg,https://images.pexels.com/photos/18874178/pexels-photo-18874178.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,stylish black and white portrait of a man wearing eyeglasses and a sweatshirt.,2,Is the man wearing glasses?,"Yes, he is wearing eyeglasses."
dataset_images/pexels_person_3_16.jpg,https://images.pexels.com/photos/18874178/pexels-photo-18874178.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,stylish black and white portrait of a man wearing eyeglasses and a sweatshirt.,3,What is the man wearing?,He is wearing a sweatshirt.
dataset_images/pexels_person_3_16.jpg,https://images.pexels.com/photos/18874178/pexels-photo-18874178.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,stylish black and white portrait of a man wearing eyeglasses and a sweatshirt.,4,How would you describe the portrait style?,It is a stylish black and white portrait.
dataset_images/pexels_person_3_16.jpg,https://images.pexels.com/photos/18874178/pexels-photo-18874178.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,stylish black and white portrait of a man wearing eyeglasses and a sweatshirt.,5,How old does the man appear?,He appears to be an adult man.
dataset_images/pexels_person_3_17.jpg,https://images.pexels.com/photos/18232763/pexels-photo-18232763.png?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,studio portrait of an adult man wearing eyeglasses and checked shirt against a gray background.,1,Is the man wearing glasses?,"Yes, he is wearing eyeglasses."
dataset_images/pexels_person_3_17.jpg,https://images.pexels.com/photos/18232763/pexels-photo-18232763.png?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,studio portrait of an adult man wearing eyeglasses and checked shirt against a gray background.,2,What type of shirt is the man wearing?,He is wearing a checked shirt.
dataset_images/pexels_person_3_17.jpg,https://images.pexels.com/photos/18232763/pexels-photo-18232763.png?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,studio portrait of an adult man wearing eyeglasses and checked shirt against a gray background.,3,What is the background color?,The background is gray.
dataset_images/pexels_person_3_17.jpg,https://images.pexels.com/photos/18232763/pexels-photo-18232763.png?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,studio portrait of an adult man wearing eyeglasses and checked shirt against a gray background.,4,Where was the photo taken?,It was taken in a studio.
dataset_images/pexels_person_3_17.jpg,https://images.pexels.com/photos/18232763/pexels-photo-18232763.png?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,studio portrait of an adult man wearing eyeglasses and checked shirt against a gray background.,5,How old does the man appear?,He appears to be an adult man.
dataset_images/pexels_person_3_18.jpg,https://images.pexels.com/photos/18844927/pexels-photo-18844927.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"a young man stands confidently beneath string lights, embodying thoughtful contemplation.",1,What is visible in the background?,String lights are visible in the background.
dataset_images/pexels_person_3_18.jpg,https://images.pexels.com/photos/18844927/pexels-photo-18844927.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"a young man stands confidently beneath string lights, embodying thoughtful contemplation.",2,How does the man appear?,He stands confidently.
dataset_images/pexels_person_3_18.jpg,https://images.pexels.com/photos/18844927/pexels-photo-18844927.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"a young man stands confidently beneath string lights, embodying thoughtful contemplation.",3,How old does the man appear?,He appears to be a young man.
dataset_images/pexels_person_3_18.jpg,https://images.pexels.com/photos/18844927/pexels-photo-18844927.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"a young man stands confidently beneath string lights, embodying thoughtful contemplation.",4,What emotion does the image convey?,It conveys thoughtful contemplation.
dataset_images/pexels_person_3_18.jpg,https://images.pexels.com/photos/18844927/pexels-photo-18844927.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"a young man stands confidently beneath string lights, embodying thoughtful contemplation.",5,Is this an indoor or outdoor photo?,It appears to be an outdoor photo with string lights.
dataset_images/pexels_person_3_19.jpg,https://images.pexels.com/photos/20357054/pexels-photo-20357054.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"portrait of a young man with arms crossed, posing confidently outdoors in gj, india.",1,What is the man's posture?,His arms are crossed.
dataset_images/pexels_person_3_19.jpg,https://images.pexels.com/photos/20357054/pexels-photo-20357054.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"portrait of a young man with arms crossed, posing confidently outdoors in gj, india.",2,Is this an indoor or outdoor photo?,It is an outdoor photo.
dataset_images/pexels_person_3_19.jpg,https://images.pexels.com/photos/20357054/pexels-photo-20357054.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"portrait of a young man with arms crossed, posing confidently outdoors in gj, india.",3,Where was this photo taken?,"It was taken in GJ, India."
dataset_images/pexels_person_3_19.jpg,https://images.pexels.com/photos/20357054/pexels-photo-20357054.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"portrait of a young man with arms crossed, posing confidently outdoors in gj, india.",4,How does the man appear?,He appears confident.
dataset_images/pexels_person_3_19.jpg,https://images.pexels.com/photos/20357054/pexels-photo-20357054.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"portrait of a young man with arms crossed, posing confidently outdoors in gj, india.",5,How old does the man appear?,He appears to be a young man.
dataset_images/pexels_person_4_13.jpg,https://images.pexels.com/photos/35839967/pexels-photo-35839967.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"black and white portrait of a man in a suit with glasses, conveying professionalism and style.",1,Is the image in color?,"No, it is a black and white image."
dataset_images/pexels_person_4_13.jpg,https://images.pexels.com/photos/35839967/pexels-photo-35839967.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"black and white portrait of a man in a suit with glasses, conveying professionalism and style.",2,What is the man wearing?,He is wearing a suit and glasses.
dataset_images/pexels_person_4_13.jpg,https://images.pexels.com/photos/35839967/pexels-photo-35839967.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"black and white portrait of a man in a suit with glasses, conveying professionalism and style.",3,What does the man convey?,He conveys professionalism and style.
dataset_images/pexels_person_4_13.jpg,https://images.pexels.com/photos/35839967/pexels-photo-35839967.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"black and white portrait of a man in a suit with glasses, conveying professionalism and style.",4,How would you describe the man's appearance?,He appears professional and stylish.
dataset_images/pexels_person_4_13.jpg,https://images.pexels.com/photos/35839967/pexels-photo-35839967.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,"black and white portrait of a man in a suit with glasses, conveying professionalism and style.",5,What type of portrait is this?,It is a formal black and white portrait.
dataset_images/pexels_person_4_14.jpg,https://images.pexels.com/photos/36819459/pexels-photo-36819459.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,pexels,person,portrait of a confident woman in a modern outfit against a dark background.,1,How would you describe the woman's outfit?,She is wearing a modern outfit.
